STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722970,23129,1980,2,10,55.6,24,37.1,24,1019,24,1017.8,8,17.5,24,4,24,8.9,999.9,72,39.9,0.00D,999.9,0
722970,23129,1980,2,11,53.8,24,41.3,24,1014.4,24,1013.1,8,8,24,3.5,24,9.9,999.9,69.1*,41.9,0.00D,999.9,1e+05
722970,23129,1980,2,12,53.9,24,42.6,24,1013.3,23,1012,8,7.6,24,3.4,24,11.1,999.9,68.0*,41.9,0.00D,999.9,1e+05
722970,23129,1980,2,13,57,23,41.7,23,1007.5,23,1006.4,8,13.1,23,7.5,23,13,999.9,68,50,0.00H,999.9,110000
722970,23129,1980,2,14,59.6,23,55.5,23,1003.6,23,1001.9,8,5.7,23,8.9,23,14,999.9,64.9*,52.9,2.95G,999.9,110010
722970,23129,1980,2,15,62.3,24,57.9,24,1014,24,1012.3,8,8.7,24,9.5,24,14,999.9,68.0*,59,0.31G,999.9,110000
722970,23129,1980,2,16,61.1,23,57.7,23,1016.7,23,1015.9,8,6.1,23,9.1,23,24.9,29.9,64.9*,59,0.16G,999.9,110000
722970,23129,1980,2,17,62.8,23,58.2,23,1011.3,23,1009.8,8,6.1,23,10.8,23,21,28,66.0*,59.9,2.36G,999.9,110000
722970,23129,1980,2,18,63.1,24,59.7,24,1011.6,24,1010.3,8,5.4,24,10.9,24,18.8,999.9,66.900000000000006,59.9,0.00G,999.9,110000
722970,23129,1980,2,19,63.1,22,58.2,22,1009.7,22,1008.4,8,6.8,22,12.6,22,18.1,999.9,66.900000000000006,61,0.63D,999.9,110000
722970,23129,1980,2,20,58.5,20,50.5,20,1010.3,20,1009,8,13.8,20,10.7,20,26.8,999.9,66.900000000000006,55.0*,0.16D,999.9,10000
722970,23129,1980,2,21,60.2,21,54.6,21,1013.8,21,1012.3,8,6.6,21,9.1,21,12.8,999.9,64.9*,55.9,0.87G,999.9,110000
722970,23129,1980,2,22,57.3,21,50.7,21,1019.9,21,1018,8,12,21,3.9,21,10.1,999.9,65.8,50,0.00G,999.9,1e+05
722970,23129,1980,2,23,57.2,21,49,20,1021.6,21,1020.2,8,11.2,21,3.4,21,10.9,999.9,66.0*,45.9,0.00D,999.9,1e+05
722970,23129,1980,2,24,58.7,24,50.2,24,1022.1,24,1020.8,8,7.7,24,3.4,24,14,999.9,73.9*,50,0.00C,999.9,1e+05
722970,23129,1980,2,25,61.8,24,49.1,24,1021.5,24,1020.2,8,7.9,24,4.6,24,14,999.9,79.0*,48.9,0.00D,999.9,1e+05
722970,23129,1980,2,26,64.4,24,46.5,24,1019.4,24,1018,8,16.7,24,5.7,24,15,999.9,80.1*,52.9,0.00D,999.9,0
722970,23129,1980,2,27,63.2,23,47.5,22,1018.6,23,1017.2,8,12.8,23,4.2,23,15,999.9,81.900000000000006,50,0.00C,999.9,0
722970,23129,1980,2,28,61.2,23,52.2,23,1019.5,23,1018.3,8,8.9,23,4.8,23,14,999.9,74.8,54.0*,0.00C,999.9,1e+05
